# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_27	cds	9093	11132	-	PKJKAM_00085	789.0	6.2e-280	0.968	0.895	0.630	UniRef:UniRef50_P76186
contig_27	cds	11132	11992	-	PKJKAM_00086	472.0	1.6e-167	1.0	0.867	0.818	UniRef:UniRef50_A0A8E1RNN9
contig_27	cds	11995	12231	-	PKJKAM_00087	130.0	2.2e-39	1.0	0.839	0.782	UniRef:UniRef50_P64471
contig_27	cds	12432	12866	+	PKJKAM_00088	207.0	2.4e-68	0.979	0.993	0.766	UniRef:UniRef50_A0A1Z1SV01
contig_27	cds	12914	13381	-	PKJKAM_00089	226.0	2.2e-77	1.0	1.0	1.0	BlastRules:WP_000597179
contig_28	cds	48	554	+	PKJKAM_00090	312.0	1.2e-108	1.0	0.928	0.976	UniRef:UniRef50_A0A377U3M7
contig_28	cds	567	977	+	PKJKAM_00091	195.0	3.7e-63	1.199	1.0	0.687	UniRef:UniRef50_Q83ER9
contig_28	cds	977	1168	+	PKJKAM_00092	89.7	6.8e-24	1.159	1.0	0.726	UniRef:UniRef50_Q8D204
contig_28	cds	1168	1422	+	PKJKAM_00093	146.0	8.9e-46	0.940	0.806	0.861	UniRef:UniRef50_Q83ER7
contig_28	cds	1586	1957	+	PKJKAM_00094	149.0	1.8e-45	0.943	0.835	0.638	UniRef:UniRef50_Q5SHP8
contig_28	cds	1968	2282	+	PKJKAM_00095	158.0	8.9e-50	0.990	0.904	0.757	UniRef:UniRef50_P60624
contig_28	cds	2297	2836	+	PKJKAM_00096	231.0	1.2e-76	0.994	0.989	0.624	UniRef:UniRef50_A0A9E1ZZ63
contig_28	cds	2851	3156	+	PKJKAM_00097	120.0	1.2e-34	1.0	0.828	0.614	UniRef:UniRef50_B4SKX6
contig_28	cds	3190	3582	+	PKJKAM_00098	201.0	2.5e-66	0.831	1.0	0.972	UniRef:UniRef50_A0A376KJZ0
contig_28	cds	3595	4128	+	PKJKAM_00099	326.0	3.3e-114	0.932	0.994	1.0	UniRef:UniRef50_A0A378AKB6
contig_28	cds	4138	4491	+	PKJKAM_00100	205.0	5.6e-68	0.974	0.832	0.991	UniRef:UniRef50_P44356
contig_28	cds	4506	5009	+	PKJKAM_00101	318.0	1.3e-110	0.994	0.814	1.0	UniRef:UniRef50_Q9HWF2
contig_28	cds	5013	5192	+	PKJKAM_00102	77.4	3.4e-19	0.966	0.891	0.667	UniRef:UniRef50_F7WZN2
contig_28	cds	5196	5630	+	PKJKAM_00103	147.0	5.2e-44	0.993	0.812	0.559	UniRef:UniRef50_Q9KP03
contig_28	cds	5638	6969	+	PKJKAM_00104	691.0	1.7e-249	0.995	0.955	0.785	UniRef:UniRef50_P57571
contig_28	cds	7001	7117	+	PKJKAM_00105	65.5	5.0e-15	1.0	0.826	0.763	UniRef:UniRef50_P20278
contig_28	ncRNA-region	7185	7296	+	-	101.5	5.3e-15	-	-	-	RFAM:RF00140
contig_28	cds	7264	7620	+	PKJKAM_00106	159.0	1.7e-49	0.966	0.820	0.675	UniRef:UniRef50_Q8DML1
contig_28	cds	7610	7990	-	PKJKAM_00107	-	-	-	-	-	-
contig_28	cds	8060	8680	+	PKJKAM_00108	300.0	1.3e-103	0.816	1.0	0.946	UniRef:UniRef50_B8KWI6
contig_28	cds	8706	9695	+	PKJKAM_00109	566.0	9.6e-204	1.152	1.050	0.810	UniRef:UniRef50_Q9KP08
contig_28	cds	9736	10119	+	PKJKAM_00110	177.0	8.9e-57	0.929	0.837	0.763	UniRef:UniRef50_P44355
contig_28	cds	10227	10595	+	PKJKAM_00111	180.0	1.0e-57	0.992	0.834	0.678	UniRef:UniRef50_A0A3D0EHT8
contig_28	cds	10606	11031	+	PKJKAM_00112	258.0	4.5e-88	0.943	0.821	0.992	UniRef:UniRef50_P0ACS5
contig_28	cds	11089	11358	+	PKJKAM_00113	127.0	6.2e-38	1.022	0.843	0.725	UniRef:UniRef50_A8AQI6
contig_28	cds	11294	11707	-	PKJKAM_00114	254.0	1.5e-86	0.985	0.808	0.985	UniRef:UniRef50_P0A742
contig_28	cds	11848	13224	-	PKJKAM_00115	552.0	4.1e-193	1.0	0.856	0.616	UniRef:UniRef50_Q8EKR1
contig_28	cds	13246	14535	-	PKJKAM_00116	745.0	2.3e-270	1.0	0.850	0.837	UniRef:UniRef50_P36929
contig_28	cds	14587	15534	-	PKJKAM_00117	555.0	5.0e-199	1.0	0.838	0.876	UniRef:UniRef50_P23882
contig_28	cds	15550	16059	-	PKJKAM_00118	229.0	1.8e-75	1.006	0.850	0.694	UniRef:UniRef50_P57948
contig_28	cds	16191	17315	+	PKJKAM_00119	494.0	4.3e-174	1.0	0.987	0.671	UniRef:UniRef50_A0A6N2WU06
contig_28	cds	17287	17760	+	PKJKAM_00120	291.0	1.1e-100	0.994	0.881	0.917	UniRef:UniRef50_P0A828
contig_28	cds	17787	18329	+	PKJKAM_00121	246.0	7.1e-82	0.983	0.816	0.780	UniRef:UniRef50_P45771
contig_28	cds	18334	18906	+	PKJKAM_00122	295.0	5.6e-101	0.989	0.855	0.782	UniRef:UniRef50_P45748
contig_28	cds	18908	19729	+	PKJKAM_00123	307.0	2.6e-103	0.982	0.934	0.549	UniRef:UniRef50_A0A0X9VZD4
contig_28	cds	19726	19983	+	PKJKAM_00124	128.0	1.8e-38	1.0	0.895	0.682	UniRef:UniRef50_A0A8E1RUV6
contig_28	cds	19959	20513	-	PKJKAM_00125	233.0	1.3e-77	1.0	1.227	0.663	UniRef:UniRef50_A0AAX2K897
contig_29	cds	51	4031	+	PKJKAM_00126	1984.0	0.0	0.938	0.818	0.873	UniRef:UniRef50_P22523
contig_29	cds	4376	6226	+	PKJKAM_00127	946.0	0.0	1.006	1.028	0.773	UniRef:UniRef50_I2BAM7
contig_29	cds	6486	7034	+	PKJKAM_00128	325.0	3.7e-113	1.0	0.915	0.857	UniRef:UniRef50_A0A2G0QAZ9
contig_29	cds	7062	7709	+	PKJKAM_00129	337.0	8.8e-117	1.0	0.881	0.698	UniRef:UniRef50_A0A090V2C0
contig_29	cds	7771	8961	-	PKJKAM_00130	764.0	2.0e-282	1.0	1.0	0.960	BlastRules:WP_000462687
contig_29	cds	9146	10237	-	PKJKAM_00131	725.0	5.4e-268	1.0	1.0	0.997	BlastRules:WP_000977709
contig_29	cds	10844	12244	-	PKJKAM_00132	722.0	3.3e-261	1.002	1.0	0.726	UniRef:UniRef50_B0JN99
contig_29	cds	12445	12906	-	PKJKAM_00133	158.0	2.4e-48	0.980	0.943	0.527	UniRef:UniRef50_A0A2X4XIS4
contig_29	cds	13223	14437	+	PKJKAM_00134	643.0	3.9e-231	0.998	0.870	0.772	UniRef:UniRef50_P40817
contig_29	cds	14683	16116	+	PKJKAM_00135	892.0	0.0	1.0	0.971	0.990	UniRef:UniRef50_A0A603RJF1
contig_29	cds	16197	16532	-	PKJKAM_00136	-	-	-	-	-	-
contig_29	cds	16504	17397	-	PKJKAM_00137	-	-	-	-	-	-
contig_29	cds	17592	18884	-	PKJKAM_00138	-	-	1.0	1.0	0.998	NCBIProtein:CHL97714.1
contig_29	cds	18929	19177	-	PKJKAM_00139	-	-	1.0	1.0	1.0	NCBIProtein:AAO69544.1
contig_29	cds	19218	19457	-	PKJKAM_00140	-	-	-	-	-	-
contig_29	cds	19500	20609	-	PKJKAM_00141	464.0	2.8e-162	1.003	0.995	0.641	UniRef:UniRef50_A0A756I5M3
contig_29	cds	20620	23820	-	PKJKAM_00142	1957.0	0.0	1.0	1.0	0.986	UniRef:UniRef50_A0A4V1HP60
contig_30	cds	45	308	+	PKJKAM_00143	-	-	-	-	-	-
contig_30	cds	414	869	+	PKJKAM_00144	270.0	2.6e-92	1.0	0.825	0.881	UniRef:UniRef50_Q9KPW3
contig_30	cds	873	1661	+	PKJKAM_00145	348.0	5.7e-120	1.0	1.0	0.721	UniRef:UniRef50_A8GID4
contig_30	cds	1661	2809	+	PKJKAM_00146	637.0	9.8e-231	0.880	0.936	0.949	UniRef:UniRef50_A0A376LI07
contig_30	cds	2806	3402	+	PKJKAM_00147	236.0	2.3e-77	1.0	0.805	0.626	UniRef:UniRef50_Q8EGG1
contig_30	cds	3426	6908	+	PKJKAM_00148	2091.0	0.0	0.950	0.896	0.952	UniRef:UniRef50_P10443
contig_30	cds	6921	7880	+	PKJKAM_00149	409.0	2.1e-141	0.994	0.832	0.644	UniRef:UniRef50_Q4ZWR2
contig_30	cds	8061	9824	+	PKJKAM_00150	595.0	1.0e-207	0.949	0.984	0.546	UniRef:UniRef50_A0A1L3ERG7
contig_30	cds	9900	12041	+	PKJKAM_00151	1345.0	0.0	0.999	0.999	0.912	BlastRules:WP_001020954
contig_30	cds	12097	12486	+	PKJKAM_00152	207.0	3.8e-68	0.984	0.830	0.740	UniRef:UniRef50_A0A1V5LLX3
contig_30	cds	12549	13841	+	PKJKAM_00153	671.0	3.2e-243	0.840	0.989	0.900	UniRef:UniRef50_A0A378BF75
contig_30	cds	13925	14185	-	PKJKAM_00154	-	-	-	-	-	-
contig_30	cds	14172	14372	-	PKJKAM_00155	80.5	2.9e-20	1.0	1.0	0.606	UniRef:UniRef50_A7MI25
contig_30	cds	14570	15115	+	PKJKAM_00156	310.0	1.6e-107	0.983	0.932	0.843	UniRef:UniRef50_A0A0H3GIN7
contig_30	cds	15112	15534	+	PKJKAM_00157	136.0	1.3e-40	0.971	1.162	0.596	UniRef:UniRef50_A0A210VPZ9
contig_30	cds	15566	16285	+	PKJKAM_00158	368.0	1.3e-128	0.971	0.928	0.767	UniRef:UniRef50_P40710
contig_30	cds	16266	16949	-	PKJKAM_00159	281.0	8.3e-95	0.952	0.919	0.634	UniRef:UniRef50_M2TLD0
contig_30	cds	17120	17521	-	PKJKAM_00160	252.0	1.9e-88	1.0	1.0	0.992	IS:ISSen1
contig_30	cds	17656	19374	-	PKJKAM_00161	853.0	3.3e-309	1.005	0.963	0.734	UniRef:UniRef50_G2H1A0
contig_30	cds	19485	20192	-	PKJKAM_00162	387.0	4.9e-137	0.817	1.0	0.984	UniRef:UniRef50_A0A2X3KIH5
contig_30	cds	20189	20593	-	PKJKAM_00163	142.0	9.2e-43	1.097	1.014	0.571	UniRef:UniRef50_P69411
contig_30	cds	20712	21527	-	PKJKAM_00164	514.0	2.1e-187	1.0	1.0	0.967	BlastRules:WP_000874226
contig_30	cds	21566	22219	-	PKJKAM_00165	-	-	-	-	-	-
contig_30	cds	22212	23243	-	PKJKAM_00166	663.0	4.0e-244	1.0	1.0	0.997	BlastRules:WP_000594016
contig_30	cds	23433	23999	+	PKJKAM_00167	270.0	4.1e-91	1.0	0.814	0.691	UniRef:UniRef50_P63228
contig_31	cds	24	647	+	PKJKAM_00168	-	-	-	-	-	-
contig_31	cds	946	2328	+	PKJKAM_00169	721.0	2.0e-262	0.822	0.997	1.0	UniRef:UniRef50_A0A379TB46
contig_31	cds	2390	2725	-	PKJKAM_00170	179.0	2.1e-58	0.856	0.960	1.0	UniRef:UniRef50_A0A8S0FUP3
contig_31	cds	2852	3583	+	PKJKAM_00171	345.0	6.3e-119	0.984	0.848	0.728	UniRef:UniRef50_P52108
contig_31	cds	4063	5226	+	PKJKAM_00172	754.0	1.1e-278	1.003	1.013	0.974	BlastRules:WP_000824321
contig_31	cds	5385	7085	+	PKJKAM_00173	601.0	6.6e-210	0.945	0.902	0.563	UniRef:UniRef50_A0A0K0HAH3
contig_31	cds	7196	8497	+	PKJKAM_00174	601.0	4.4e-214	0.889	0.833	0.792	UniRef:UniRef50_A0A3N0G4L4
contig_31	cds	8573	9502	+	PKJKAM_00175	439.0	1.2e-154	1.0	0.994	0.702	UniRef:UniRef50_A0A2P5GTY5
contig_31	cds	9499	10902	-	PKJKAM_00176	553.0	1.5e-194	0.983	0.975	0.612	UniRef:UniRef50_Q9KCX4
contig_31	cds	11070	12716	-	PKJKAM_00177	1066.0	0.0	1.0	1.0	0.958	BlastRules:WP_000066639
contig_31	cds	12916	14091	+	PKJKAM_00178	574.0	2.1e-206	0.813	0.997	0.896	UniRef:UniRef50_G5LP50
contig_31	cds	14194	15702	+	PKJKAM_00179	678.0	3.4e-241	1.0	0.838	0.663	UniRef:UniRef50_P77804
contig_31	cds	16408	17409	+	PKJKAM_00180	593.0	6.4e-214	0.997	0.902	0.895	UniRef:UniRef50_B7LQP7
contig_31	cds	17484	18524	-	PKJKAM_00181	651.0	2.6e-236	0.997	0.880	0.922	UniRef:UniRef50_P77376
contig_31	cds	19158	19373	+	PKJKAM_00182	133.0	5.8e-41	0.986	0.933	0.886	UniRef:UniRef50_A0A2B7MLN2
contig_31	cds	19462	19902	+	PKJKAM_00183	277.0	1.2e-95	1.0	0.912	1.0	UniRef:UniRef50_A0A090V4A7
contig_31	cds	19979	20560	+	PKJKAM_00184	275.0	4.6e-93	1.0	0.889	0.746	UniRef:UniRef50_Q482U3
contig_31	cds	20560	21138	+	PKJKAM_00185	213.0	6.4e-69	1.005	0.990	0.606	UniRef:UniRef50_A0A3N0UX17
contig_31	cds	21131	23338	+	PKJKAM_00186	-	-	-	-	-	-
contig_31	cds	23339	24397	+	PKJKAM_00187	586.0	3.2e-212	0.830	1.0	0.997	UniRef:UniRef50_A0A6N3QZ10
contig_31	cds	24401	25021	+	PKJKAM_00188	324.0	5.9e-112	1.0	0.892	0.762	UniRef:UniRef50_P77285
contig_31	cds	25024	25716	+	PKJKAM_00189	361.0	3.3e-126	0.939	0.908	0.866	UniRef:UniRef50_P77179
contig_31	cds	25716	26351	+	PKJKAM_00190	250.0	2.3e-82	0.962	0.802	0.601	UniRef:UniRef50_P44319
contig_31	cds	26953	28458	+	PKJKAM_00191	875.0	0.0	1.0	0.895	0.874	UniRef:UniRef50_Q0WEG0
contig_31	cds	28563	29168	+	PKJKAM_00192	401.0	3.1e-142	1.0	0.807	0.990	UniRef:UniRef50_P0A9D2
contig_31	cds	29227	30087	-	PKJKAM_00193	437.0	2.7e-154	1.0	0.990	0.759	UniRef:UniRef50_A0A4T0UYJ7
contig_31	cds	30147	31421	-	PKJKAM_00194	823.0	1.5e-301	1.0	0.891	0.962	UniRef:UniRef50_P0AGJ9
contig_31	cds	31548	32204	-	PKJKAM_00195	365.0	8.7e-128	0.959	0.843	0.823	UniRef:UniRef50_Q8ED71
contig_31	cds	32263	32625	-	PKJKAM_00196	157.0	1.9e-49	0.892	1.0	0.692	UniRef:UniRef50_A7MMK4
contig_31	cds	32680	33312	-	PKJKAM_00197	-	-	-	-	-	-
contig_32	ncRNA	816	922	-	PKJKAM_00198	120.4	7.4e-21	-	-	-	RFAM:RF01830
contig_32	tRNA	1000	1075	-	PKJKAM_00199	66.6	-	-	-	-	-
contig_32	rRNA	1161	2702	-	PKJKAM_00200	1579.9	6.7e-48	-	-	-	RFAM:RF00177
contig_32	cds	3326	4915	+	PKJKAM_00201	919.0	0.0	1.0	0.860	0.881	UniRef:UniRef50_P15639
contig_32	cds	4931	6220	+	PKJKAM_00202	825.0	3.9e-302	1.121	1.0	0.884	UniRef:UniRef50_P15640
contig_32	cds	6217	7542	-	PKJKAM_00203	590.0	4.7e-211	1.0	1.205	0.730	UniRef:UniRef50_A0A3S4KDD1
contig_32	cds	7548	9134	-	PKJKAM_00204	996.0	0.0	1.0	0.953	0.983	UniRef:UniRef50_P14377
contig_32	cds	9199	9654	+	PKJKAM_00205	162.0	5.7e-50	0.881	0.869	0.647	UniRef:UniRef50_A0A484Y856
contig_32	cds	9696	10388	-	PKJKAM_00206	327.0	1.9e-112	1.052	1.0	0.674	UniRef:UniRef50_P32681
contig_32	cds	10400	10672	-	PKJKAM_00207	97.1	7.2e-26	1.0	0.818	0.567	UniRef:UniRef50_A0A090ASH9
contig_32	cds	10859	11449	-	PKJKAM_00208	266.0	7.0e-90	1.0	0.970	0.633	UniRef:UniRef50_A0A6L2ZL37
contig_32	cds	11491	12162	-	PKJKAM_00209	387.0	6.4e-137	0.996	0.996	0.833	UniRef:UniRef50_I2BE02
contig_32	cds	12172	13236	-	PKJKAM_00210	495.0	6.1e-175	0.997	0.941	0.677	UniRef:UniRef50_A9KCZ5
contig_32	cds	13277	14050	-	PKJKAM_00211	452.0	7.2e-161	1.0	0.915	0.821	UniRef:UniRef50_P32664
contig_32	cds	14143	14631	+	PKJKAM_00212	252.0	5.2e-85	1.198	1.021	0.716	UniRef:UniRef50_P0AFX4
contig_32	cds	14995	16890	+	PKJKAM_00213	857.0	1.0e-308	0.990	0.959	0.661	UniRef:UniRef50_Q6G477
contig_32	cds	16890	17525	+	PKJKAM_00214	227.0	2.5e-73	0.953	0.810	0.547	UniRef:UniRef50_A0A097QY13
contig_32	cds	17518	18276	+	PKJKAM_00215	267.0	2.6e-88	1.008	0.988	0.567	UniRef:UniRef50_A0A8S0FGV7
contig_32	cds	18257	18457	+	PKJKAM_00216	63.5	1.7e-13	1.0	0.930	0.500	UniRef:UniRef50_A0A0T9N4J8
contig_32	cds	18459	19229	+	PKJKAM_00217	485.0	1.8e-176	0.996	0.996	0.996	BlastRules:WP_000944065
contig_32	cds	19226	20359	+	PKJKAM_00218	506.0	1.2e-177	0.981	0.841	0.662	UniRef:UniRef50_A0A7T3X3R1
contig_32	cds	20580	21590	-	PKJKAM_00219	681.0	3.2e-251	1.0	1.0	0.994	VFDB:VFG004016
contig_32	cds	21898	22332	+	PKJKAM_00220	309.0	3.1e-108	1.0	0.867	1.0	UniRef:UniRef50_B5RFJ8
