# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_4	cds	24646	25440	-	ONMMKP_00049	fliR	Flagellar biosynthetic protein FliR	SO:0001217, UniRef:UniRef50_P54702
contig_4	cds	25449	25718	-	ONMMKP_00050	fliQ	Flagellar biosynthetic protein FliQ	SO:0001217, UniRef:UniRef50_P0AC07
contig_4	cds	25728	26465	-	ONMMKP_00051	fliP	flagellar type III secretion system pore protein FliP	BlastRules:WP_001253410, SO:0001217, UniRef:UniRef50_A0A4V2JFY6
contig_4	cds	26465	26842	-	ONMMKP_00052	fliO	Flagellar protein FliO	SO:0001217, UniRef:UniRef50_P0A1L1
contig_4	cds	26842	27255	-	ONMMKP_00053	fliN	Flagellar motor switch protein FliN	SO:0001217, UniRef:UniRef50_P15070
contig_4	cds	27252	28256	-	ONMMKP_00054	fliM	Flagellar motor switch protein FliM	SO:0001217, UniRef:UniRef50_P06974
contig_4	cds	28261	28728	-	ONMMKP_00055	fliL	Flagellar protein FliL	SO:0001217, UniRef:UniRef50_A1JSW4
contig_4	cds	28833	30056	-	ONMMKP_00056		hypothetical protein	PFAM:PF02120.21
contig_4	cds	30053	30496	-	ONMMKP_00057	fliJ	Flagellar FliJ protein	SO:0001217, UniRef:UniRef50_P52613
contig_4	cds	30518	31888	-	ONMMKP_00058		Flagellum-specific ATP synthase	SO:0001217, UniRef:UniRef50_A0A484X499
contig_4	cds	31888	32595	-	ONMMKP_00059	fliH	Flagellar assembly protein FliH	SO:0001217, UniRef:UniRef50_P31068
contig_4	cds	32588	33583	-	ONMMKP_00060	fliG	Flagellar motor switch protein FliG	SO:0001217, UniRef:UniRef50_Q7VYE6
contig_4	cds	33576	35258	-	ONMMKP_00061		Flagellar M-ring protein	SO:0001217, UniRef:UniRef50_P15928
contig_4	cds	35475	35789	+	ONMMKP_00062	fliE	Flagellar hook-basal body complex protein FliE	SO:0001217, UniRef:UniRef50_A0A0U5GMW4
contig_4	cds	36561	36794	-	ONMMKP_00063	yedF	Putative sulfur carrier protein YedF	SO:0001217, UniRef:UniRef50_A0A066RAR0
contig_4	cds	36791	37996	-	ONMMKP_00064		Inner membrane protein	SO:0001217, UniRef:UniRef50_A3N3R5
contig_4	cds	38182	38595	+	ONMMKP_00065		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A7T0E0F8
contig_4	cds	38635	40119	-	ONMMKP_00066		Cytoplasmic alpha-amylase	SO:0001217, UniRef:UniRef50_P26612
contig_4	cds	40191	40559	-	ONMMKP_00067		hypothetical protein	
contig_4	cds	40559	40966	-	ONMMKP_00068	fliS	Flagellar secretion chaperone FliS	SO:0001217, UniRef:UniRef50_P26609
contig_4	cds	40981	42384	-	ONMMKP_00069		hypothetical protein	PFAM:PF07196.18
contig_4	cds	42641	44122	+	ONMMKP_00070		Flagellin	SO:0001217, UniRef:UniRef50_I0LF45
contig_4	cds	44201	45406	+	ONMMKP_00071	fliB	flagellin lysine-N-methylase	BlastRules:WP_000659236, BlastRules:WP_011816588, SO:0001217, UniRef:UniRef50_Q56106
contig_4	cds	45603	46322	+	ONMMKP_00072	fliA	RNA polymerase sigma factor FliA	SO:0001217, UniRef:UniRef50_P0AEM6
contig_4	cds	46381	46932	+	ONMMKP_00073	fliZ	Regulator of sigma S factor FliZ	SO:0001217, UniRef:UniRef50_P52627
contig_4	cds	47079	47879	+	ONMMKP_00074		Cystine-binding periplasmic protein	SO:0001217, UniRef:UniRef50_N2IXY8
contig_4	cds	48033	49019	+	ONMMKP_00075		D-cysteine desulfhydrase	SO:0001217, UniRef:UniRef50_A0AAP1MTS7
contig_4	cds	49040	49708	+	ONMMKP_00076	tcyL	L-cystine transport system permease protein TcyL	SO:0001217, UniRef:UniRef50_P0AFT2
contig_4	cds	49705	50457	+	ONMMKP_00077	yecC	L-cystine ABC transporter ATP-binding protein YecC	SO:0001217, UniRef:UniRef50_A0A0E1NIK3
contig_4	cds	50690	51412	+	ONMMKP_00078	sdiA	Regulatory protein SdiA	SO:0001217, UniRef:UniRef50_P07026
contig_4	cds	51479	51703	-	ONMMKP_00079		DUF2594 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C4GES6
contig_4	cds	52167	52823	+	ONMMKP_00080	uvrY	Response regulator UvrY	SO:0001217, UniRef:UniRef50_P0AED5
contig_4	cds	52820	54652	+	ONMMKP_00081		Excinuclease ABC subunit C	SO:0001217, UniRef:UniRef50_A0A2X4TNL3
contig_4	cds	54709	55257	+	ONMMKP_00082		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	SO:0001217, UniRef:UniRef50_Q492P7
contig_4	tRNA	55409	55484	+	ONMMKP_00083	trnG	tRNA-Gly(gcc)	SO:0000260
contig_4	tRNA	55538	55611	+	ONMMKP_00084	trnC	tRNA-Cys(gca)	SO:0000258
contig_4	tRNA	55623	55709	+	ONMMKP_00085	trnL	tRNA-Leu(taa)	SO:0000264
contig_4	cds	56007	56291	+	ONMMKP_00086		hypothetical protein	
contig_4	cds	56511	57944	+	ONMMKP_00087		Cell wall hydrolase	SO:0001217, UniRef:UniRef50_A9MMN8
contig_4	cds	58157	58483	+	ONMMKP_00088		Glucose-6-phosphate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A0H3NMH7
contig_4	ncRNA	58492	58669	-	ONMMKP_00089	STnc210	Salmonella enterica sRNA STnc210	RFAM:RF02078, SO:0000655
contig_4	cds	58722	59387	+	ONMMKP_00090	yecA	Uncharacterized protein YecA	SO:0001217, UniRef:UniRef50_P0AD05
contig_4	cds	59462	60730	-	ONMMKP_00091		hypothetical protein	PFAM:PF01490.24
contig_4	cds	60900	61139	+	ONMMKP_00092		DUF2492 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A3V2NXD6
contig_4	cds	61185	61682	-	ONMMKP_00093		Ferritin	SO:0001217, UniRef:UniRef50_A0A0F5F309
contig_4	cds	61922	62257	-	ONMMKP_00094		Protein	SO:0001217, UniRef:UniRef50_A0A377B9F3
contig_4	cds	62513	63151	+	ONMMKP_00095		RpiB/LacA/LacB family sugar-phosphate isomerase	SO:0001217, UniRef:UniRef50_A0A975SD96
contig_4	cds	63330	63833	-	ONMMKP_00096		Bacterial non-heme ferritin-like protein	SO:0001217, UniRef:UniRef50_P0A9A2
contig_4	cds	64384	64941	+	ONMMKP_00097		DJ-1/PfpI family protein	SO:0001217, UniRef:UniRef50_A0A6G6H7R4
contig_4	cds	65476	66378	+	ONMMKP_00098		Trehalose-6-phosphate phosphatase	SO:0001217, UniRef:UniRef50_P31678
contig_4	cds	66353	67774	+	ONMMKP_00099		Alpha,alpha-trehalose-phosphate synthase (UDP-forming)	SO:0001217, UniRef:UniRef50_B2TXE2
contig_4	cds	67792	68220	-	ONMMKP_00100		Universal stress protein	SO:0001217, UniRef:UniRef50_A0A285B5Z7
contig_4	cds	69016	69357	+	ONMMKP_00101	flhD	Flagellar transcriptional regulator FlhD	SO:0001217, UniRef:UniRef50_Q8XCE8
contig_4	cds	69360	69938	+	ONMMKP_00102	flhC	Flagellar transcriptional regulator FlhC	SO:0001217, UniRef:UniRef50_J7TP89
contig_4	cds	70063	70950	+	ONMMKP_00103	motA	Flagellar motor stator protein MotA	SO:0001217, UniRef:UniRef50_A0AA95GI55
contig_4	cds	70947	71876	+	ONMMKP_00104	motB	Chemotaxis protein MotB	SO:0001217, UniRef:UniRef50_A0A840GDT5
contig_4	cds	71881	73896	+	ONMMKP_00105		histidine kinase	SO:0001217, UniRef:UniRef50_A0A379S194
contig_4	cds	73917	74420	+	ONMMKP_00106	cheW	Chemotaxis protein CheW	SO:0001217, UniRef:UniRef50_Q8EF65
contig_4	cds	74657	76318	+	ONMMKP_00107		Methyl-accepting chemotaxis protein II	SO:0001217, UniRef:UniRef50_P02941
contig_4	cds	76479	77345	+	ONMMKP_00108		Chemotaxis protein methyltransferase	SO:0001217, UniRef:UniRef50_P07364
contig_4	cds	77342	78391	+	ONMMKP_00109	cheB	protein-glutamate methylesterase/protein glutamine deamidase	BlastRules:WP_000036361, EC:3.1.1.61, EC:3.5.1.44, SO:0001217, UniRef:UniRef50_Q6D6I7
contig_4	cds	78409	78798	+	ONMMKP_00110	cheY	chemotaxis regulatory protein CheY	SO:0001217, UniRef:UniRef50_A0A377LWM1, VFDB:VFC0204, VFDB:VFG043206
contig_4	cds	78806	79453	+	ONMMKP_00111	cheZ	Protein phosphatase CheZ	SO:0001217, UniRef:UniRef50_A0A2X1K8E4
contig_4	cds	79361	79555	-	ONMMKP_00112		hypothetical protein	
contig_4	cds	79647	80798	+	ONMMKP_00113	flhB	Flagellar biosynthetic protein FlhB	SO:0001217, UniRef:UniRef50_A0AA94H4W7
contig_4	cds	80791	82869	+	ONMMKP_00114	flhA	Flagellar biosynthesis protein FlhA	SO:0001217, UniRef:UniRef50_Q89AN5
contig_4	cds	82869	83261	+	ONMMKP_00115	flhE	flagellar protein FlhE	BlastRules:WP_001233619, BlastRules:WP_001259583, SO:0001217, UniRef:UniRef50_P76297
contig_4	cds	83498	84637	+	ONMMKP_00116		Glycoside hydrolase 105 family protein	SO:0001217, UniRef:UniRef50_A0A2N5AJB8
contig_4	cds	84691	86562	-	ONMMKP_00117	mrdA	serine-type D-Ala-D-Ala carboxypeptidase MrdA	BlastRules:WP_000142877, SO:0001217, UniRef:UniRef50_A0A448SSB2
contig_4	cds	86751	88484	-	ONMMKP_00118		Arginine--tRNA ligase	SO:0001217, UniRef:UniRef50_P11875
contig_4	cds	88721	89290	+	ONMMKP_00119		VOC family protein	SO:0001217, UniRef:UniRef50_A0A389MAY5
contig_4	cds	89310	90056	+	ONMMKP_00120	cutC	PF03932 family protein CutC	SO:0001217, UniRef:UniRef50_A0A2X3KED2
contig_4	ncRNA	89828	90135	+	ONMMKP_00121	micL	MicL sRNA	RFAM:RF02654, SO:0000655
contig_4	cds	90292	91263	-	ONMMKP_00122		tRNA U34 carboxymethyltransferase	SO:0001217, UniRef:UniRef50_B8F571
contig_4	cds	91260	92003	-	ONMMKP_00123		Carboxy-S-adenosyl-L-methionine synthase	SO:0001217, UniRef:UniRef50_A0KWL3
contig_4	cds	92044	92439	-	ONMMKP_00124		Inner membrane protein	SO:0001217, UniRef:UniRef50_D2C0Y7
contig_4	cds	92492	93310	-	ONMMKP_00125		DUF72 domain-containing protein	SO:0001217, UniRef:UniRef50_A0AAJ1D0V7
contig_4	cds	93307	93873	-	ONMMKP_00126	yecD	Isochorismatase family protein YecD	SO:0001217, UniRef:UniRef50_P0ADI7
contig_4	cds	94198	95970	+	ONMMKP_00127		Aspartate--tRNA(Asp/Asn) ligase	SO:0001217, UniRef:UniRef50_Q15RN2
contig_4	cds	96073	96525	+	ONMMKP_00128		Dihydroneopterin triphosphate diphosphatase	SO:0001217, UniRef:UniRef50_P44635
contig_4	cds	96555	97295	+	ONMMKP_00129	yebC	putative transcriptional regulatory protein YebC	SO:0001217, UniRef:UniRef50_P0A8A0
contig_4	cds	97332	97853	+	ONMMKP_00130	ruvC	Crossover junction endodeoxyribonuclease RuvC	SO:0001217, UniRef:UniRef50_P0A814
contig_4	cds	97884	99380	+	ONMMKP_00131		hypothetical protein	
contig_4	cds	99480	100076	-	ONMMKP_00132	yebB	Uncharacterized protein YebB	SO:0001217, UniRef:UniRef50_P24238
contig_4	cds	100285	100977	+	ONMMKP_00133		Inner membrane protein	SO:0001217, UniRef:UniRef50_V1GTL3
contig_4	cds	101337	101948	+	ONMMKP_00134	ruvA	Holliday junction branch migration complex subunit RuvA	SO:0001217, UniRef:UniRef50_P0A809
contig_4	cds	101957	102967	+	ONMMKP_00135	ruvB	Holliday junction branch migration complex subunit RuvB	SO:0001217, UniRef:UniRef50_E8LJM4
contig_4	cds	103046	103831	-	ONMMKP_00136	znuB	High-affinity zinc uptake system membrane protein ZnuB	SO:0001217, UniRef:UniRef50_P39832
contig_4	cds	103828	104583	-	ONMMKP_00137	znuC	Zinc import ATP-binding protein ZnuC	SO:0001217, UniRef:UniRef50_Q89AJ0
contig_4	cds	104605	105606	+	ONMMKP_00138	znuA	High-affinity zinc uptake system protein ZnuA	SO:0001217, UniRef:UniRef50_A0A655EJW8
contig_4	cds	105622	106941	+	ONMMKP_00139		hypothetical protein	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_4	cds	107058	108029	+	ONMMKP_00140		Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	SO:0001217, UniRef:UniRef50_A0A379GIK2
contig_4	cds	108102	109544	-	ONMMKP_00141		Pyruvate kinase	SO:0001217, UniRef:UniRef50_A0A0E3Y6M9
contig_4	cds	109668	110537	-	ONMMKP_00142	hexR	2-keto-3-deoxy-6-phosphogluconate-responsive transcriptional regulator of central carbohydrate metabolism HexR	SO:0001217, UniRef:UniRef50_Q8EE97
contig_4	cds	110879	112354	+	ONMMKP_00143		Glucose-6-phosphate 1-dehydrogenase	SO:0001217, UniRef:UniRef50_P0AC53
contig_4	cds	112589	114400	+	ONMMKP_00144		Phosphogluconate dehydratase	SO:0001217, UniRef:UniRef50_A0A376W7S0
contig_4	cds	114438	115079	+	ONMMKP_00145	kdgA	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	BlastRules:WP_000800512, EC:4.1.2.14, EC:4.1.3.16, SO:0001217, UniRef:UniRef50_P0A955
contig_4	cds	115179	116357	-	ONMMKP_00146		Formate-dependent phosphoribosylglycinamide formyltransferase	SO:0001217, UniRef:UniRef50_B8GRA4
contig_4	cds	116488	116778	+	ONMMKP_00147		hypothetical protein	
contig_4	cds	116846	117199	+	ONMMKP_00148	yebF	Protein YebF	SO:0001217, UniRef:UniRef50_Q8ZNW7
contig_4	cds	117293	117952	+	ONMMKP_00149	yebE	Inner membrane protein YebE	SO:0001217, UniRef:UniRef50_P33218
contig_4	cds	118165	120216	+	ONMMKP_00150		Protease 2	SO:0001217, UniRef:UniRef50_P24555
contig_4	cds	120251	120949	-	ONMMKP_00151		Exodeoxyribonuclease 10	SO:0001217, UniRef:UniRef50_A0A380SI36
contig_4	cds	120973	121629	-	ONMMKP_00152	yobB	Uncharacterized protein YobB	SO:0001217, UniRef:UniRef50_P76280
contig_4	cds	121737	121967	-	ONMMKP_00153		DNA polymerase III subunit theta	SO:0001217, UniRef:UniRef50_A0A1V2BHY2
contig_4	cds	122105	122479	+	ONMMKP_00154	yobA	Protein YobA	SO:0001217, UniRef:UniRef50_P0AA57
contig_4	cds	122480	123355	+	ONMMKP_00155	yebZ	Inner membrane protein YebZ	SO:0001217, UniRef:UniRef50_P76278
contig_4	cds	123372	123725	+	ONMMKP_00156	yebY	Uncharacterized protein YebY	SO:0001217, UniRef:UniRef50_P64506
contig_4	ncRNA	123827	123971	-	ONMMKP_00157	SraC_RyeA	SraC/RyeA RNA	RFAM:RF00101, SO:0000655
contig_4	ncRNA	123868	123967	+	ONMMKP_00158	SdsR_RyeB	SdsR_RyeB RNA	RFAM:RF00111, SO:0000655
contig_4	cds	124088	124357	-	ONMMKP_00159		hypothetical protein	
contig_4	cds	124372	124941	-	ONMMKP_00160		Core-binding (CB) domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1X8WC87
contig_4	cds	125001	125654	-	ONMMKP_00161		Rac prophage protein	SO:0001217, UniRef:UniRef50_A0A7D8ITU5
contig_4	cds	125685	125915	+	ONMMKP_00162		hypothetical protein	
contig_4	cds	125969	126502	+	ONMMKP_00163		Protein gp55	SO:0001217, UniRef:UniRef50_O64363
contig_4	cds	126759	126926	-	ONMMKP_00164		Lytic enzyme	SO:0001217, UniRef:UniRef50_Q8ZNX9
contig_4	cds	127234	127725	+	ONMMKP_00165		DUF1441 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A2A7U795
contig_4	cds	127712	127891	+	ONMMKP_00166		Phage tail protein	SO:0001217, UniRef:UniRef50_A0A1X8WCZ4
contig_4	cds	127911	128312	+	ONMMKP_00167		Phage terminase large subunit GpA ATPase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6C6Z0J0
contig_4	cds	128278	129060	+	ONMMKP_00168		hypothetical protein	
contig_4	cds	129195	129881	+	ONMMKP_00169		hypothetical protein	PFAM:PF01661.27
contig_4	cds	129830	130330	+	ONMMKP_00170		Tail fiber assembly like-protein	SO:0001217, UniRef:UniRef50_Q9KIC2
contig_4	cds	131898	132020	+	ONMMKP_00171		hypothetical protein	
contig_4	cds	132469	133083	-	ONMMKP_00172		Disulfide bond formation protein B	SO:0001217, UniRef:UniRef50_A0A0H3LYD5
contig_4	cds	133093	133251	-	ONMMKP_00173		Inner membrane protein	SO:0001217, UniRef:UniRef50_D3V5U4
contig_4	cds	133384	134298	-	ONMMKP_00174	pagO	PhoPQ-activated DMT family transporter PagO	NCBIProtein:EAY8653673.1, SO:0001217, UniRef:UniRef50_O30646
contig_4	cds	135584	135952	-	ONMMKP_00175		Integrase	SO:0001217, UniRef:UniRef50_A0A344R175
contig_4	cds	136076	137284	+	ONMMKP_00176		Mutator family transposase	SO:0001217, UniRef:UniRef50_B7FD82
contig_4	cds	138378	138797	+	ONMMKP_00177		GCN5-related N-acetyltransferase	SO:0001217, UniRef:UniRef50_C6DJN5
contig_4	cds	139184	139660	-	ONMMKP_00178		hypothetical protein	
contig_4	cds	139990	140385	-	ONMMKP_00179		DUF1398 domain-containing protein	SO:0001217, UniRef:UniRef50_V1GUM1
contig_4	cds	141326	141790	+	ONMMKP_00180	sopE	Guanine nucleotide exchange factor sopE	SO:0001217, UniRef:UniRef50_A0A447R385
contig_4	cds	142075	142239	+	ONMMKP_00181		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A4Z0L2C4
contig_4	cds	142212	142445	+	ONMMKP_00182		Serine/threonine protein phosphatase	SO:0001217, UniRef:UniRef50_V7IM68
contig_4	cds	142463	143113	+	ONMMKP_00183		Serine/threonine protein phosphatase	SO:0001217, UniRef:UniRef50_A0A1B7IQI8
contig_4	cds	143132	143323	-	ONMMKP_00184		DUF1482 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A090V2E4
contig_4	cds	143434	143673	-	ONMMKP_00185	yebV	YebV family protein	SO:0001217, UniRef:UniRef50_A0A0H3B364
contig_4	cds	143788	145329	-	ONMMKP_00186		Ribosomal RNA small subunit methyltransferase F	SO:0001217, UniRef:UniRef50_P76273
contig_4	cds	145305	147938	-	ONMMKP_00187	yebT	Intermembrane transport protein YebT	SO:0001217, UniRef:UniRef50_P76272
contig_4	cds	147907	149190	-	ONMMKP_00188	yebS	membrane integrity lipid transport subunit YebS	BlastRules:WP_001207282, SO:0001217, UniRef:UniRef50_P0AD03
contig_4	cds	149247	149816	+	ONMMKP_00189		Free methionine-R-sulfoxide reductase	SO:0001217, UniRef:UniRef50_P76270
contig_4	cds	149914	150600	+	ONMMKP_00190	proQ	RNA chaperone ProQ	SO:0001217, UniRef:UniRef50_P60317
contig_4	cds	150620	152668	+	ONMMKP_00191		Tail-specific protease	SO:0001217, UniRef:UniRef50_P23865
contig_4	cds	152861	153742	+	ONMMKP_00192	htpX	Protease HtpX	SO:0001217, UniRef:UniRef50_P23894
contig_4	cds	153790	155163	-	ONMMKP_00193		Transport protein	SO:0001217, UniRef:UniRef50_A0A377WK07
contig_4	cds	155228	155335	+	ONMMKP_00194		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A455RYX3
contig_4	cds	155339	156130	+	ONMMKP_00195	kdgR	Pectin degradation repressor protein KdgR	SO:0001217, UniRef:UniRef50_A0A128EZN5
contig_4	cds	156342	156581	-	ONMMKP_00196		hypothetical protein	
contig_4	cds	156739	156882	+	ONMMKP_00197	mgrB	PhoP/PhoQ regulator MgrB	BlastRules:WP_000714547, SO:0001217, UniRef:UniRef50_B7LPM0
contig_4	cds	156953	157240	+	ONMMKP_00198	yebO	Uncharacterized protein YebO	SO:0001217, UniRef:UniRef50_A0A509BQG0
contig_4	ncRNA-region	157869	158328	+			cspA thermoregulator	RFAM:RF01766, SO:0002168
contig_4	cds	158045	158254	+	ONMMKP_00199	cspE	transcription antiterminator/RNA stability regulator CspE	BlastRules:WP_000034825, SO:0001217, UniRef:UniRef50_P0A986
contig_4	cds	158474	160219	+	ONMMKP_00200	ftsI	Peptidoglycan D,D-transpeptidase FtsI	SO:0001217, UniRef:UniRef50_P0AD68
contig_4	cds	160285	161094	+	ONMMKP_00201		23S rRNA (guanine(745)-N(1))-methyltransferase	SO:0001217, UniRef:UniRef50_P36999
contig_4	cds	161091	161657	-	ONMMKP_00202	mntP	Putative manganese efflux pump MntP	SO:0001217, UniRef:UniRef50_A0A085VMU3
contig_4	ncRNA-region	161769	161860	-			Manganese Mn2+ riboswitch aptamer (yybP-ykoY)	RFAM:RF00080, SO:0000035
contig_4	cds	162067	162525	-	ONMMKP_00203		UPF0266 membrane protein KPN78578_23010	SO:0001217, UniRef:UniRef50_A6TAZ1
contig_4	cds	162584	163435	-	ONMMKP_00204		Fructose permease IID component	SO:0001217, UniRef:UniRef50_P26382
contig_4	cds	163448	164248	-	ONMMKP_00205	manY	PTS mannose transporter subunit IIC	BlastRules:WP_000406926, EC:2.7.1.199, SO:0001217, UniRef:UniRef50_Q9RGG3
